query_case_id,stratum,query_year,true_label,expected_authority,a_n_evidence,a_selected_ids,a_checks_performed,d_n_checks,d_checks_passed,d_all_passed,d_temporal_violations,d_unsupported,d_rejected_items,d_output_changed_vs_a,probe_passage_rejected,probe_authority_rejected,probe_temporal_rejected,e3_predicted_label,e4_predicted_label
1990_234,extension7,1990,0,[1973] 1 S.C.R. 258,5,1981_1_206_342::p0060::c001;1983_3_536_544::p0001::c002;S_1973_1_1_1002::p0461::c004;S_1971_1_661_670::p0006::c003;1980_3_1209_1242::p0003::c003,0,5,5,1,0,0,0,0,True,True,True,0,0
1990_256,extension7,1990,1,[1964] 1 S.C.R. 639,5,S_1962_2_297_366::p0001::c002;S_1962_2_276_297::p0022::c003;1971_1_734_747::p0003::c023;1989_1_718_729::p0001::c002;1972_2_671_673::p0003::c003,0,5,5,1,0,0,0,0,True,True,True,1,1
1990_324,extension7,1990,1,[1977] 2 S.C.R. 633,5,1988_2_1025_1042::p0009::c004;1976_3_565_578::p0009::c001;S_1989_2_336_347::p0010::c001;1989_3_743_749::p0001::c001;1976_3_585_587::p0002::c004,0,5,5,1,0,0,0,0,True,True,True,1,1
1991_136,extension7,1991,1,[1961] 1 S.C.R. 591,5,1980_3_915_928::p0014::c001;1985_2_643_685::p0036::c004;S_1990_2_615_637::p0011::c001;1968_3_158_162::p0002::c006;1990_1_315_319::p0002::c002,0,5,5,1,0,0,0,0,True,True,True,0,0
1991_87,extension7,1991,1,[1964] 3 S.C.R. 506,5,1985_1_29_62::p0012::c001;1970_3_963_969::p0002::c006;1982_1_283_287::p0001::c004;1979_2_974_996::p0021::c002;1974_3_624_651::p0007::c002,0,5,5,1,0,0,0,0,True,True,True,0,0
1992_286,extension7,1992,1,[1984] 2 S.C.R. 67,5,S_1991_2_267_304::p0007::c002;1991_3_149_158::p0001::c001;S_1985_2_51_99::p0001::c003;S_1988_3_870_877::p0001::c001;1982_2_246_271::p0001::c003,0,5,5,1,0,0,0,0,True,True,True,0,0
1992_84,base30,1992,1,(1981) 4 SCC 173,5,1971_2_661_671::p0006::c002;1973_3_364_401::p0037::c008;1989_3_43_127::p0044::c001;S_1985_3_909_1024::p0034::c002;1986_2_278_387::p0020::c001,0,5,5,1,0,0,0,0,True,True,True,0,0
1993_185,base30,1993,1,AIR 1987 SC 454,5,1987_1_603_630::p0001::c003;1987_1_584_602::p0004::c002;1990_1_464_469::p0001::c002;S_1988_2_805_813::p0005::c002;1987_3_427_455::p0001::c003,0,5,5,1,0,0,0,0,True,True,True,1,1
1993_90,extension7,1993,0,[1983] 3 S.C.R. 438,5,1982_3_9_37::p0008::c002;1980_1_491_497::p0002::c007;1968_2_311_352::p0040::c001;1982_3_411_443::p0007::c005;1987_2_1_46::p0004::c002,0,5,5,1,0,0,0,0,True,True,True,0,0
1994_632,base30,1994,0,[1979] 2 S.C.R. 953,5,1993_1_435_454::p0006::c002;1991_2_198_220::p0009::c006;1990_1_464_469::p0001::c002;S_1976_1_59_66::p0004::c002;S_1993_3_555_567::p0001::c002,0,5,5,1,0,0,0,0,True,True,True,1,1
1995_322,base30,1995,0,AIR 1986 SC 794,5,S_1985_1_63_82::p0017::c002;1973_1_258_276::p0007::c002;1979_3_201_208::p0005::c005;1968_1_447_454::p0007::c001;1969_2_158_165::p0004::c004,0,5,5,1,0,0,0,0,True,True,True,0,0
1995_375,base30,1995,1,JT (1993) 5 SC 681,5,1993_2_1_10::p0004::c003;S_1993_2_551_557::p0004::c001;1988_1_335_339::p0004::c001;S_1990_1_562_579::p0013::c002;S_1992_2_356_361::p0004::c003,0,5,5,1,0,0,0,0,True,True,True,1,1
1995_403,base30,1995,0,AIR 1965 SC 202,5,S_1988_3_524_530::p0003::c003;1991_2_256_273::p0014::c001;1981_3_145_164::p0010::c001;1961_2_890_904::p0003::c002;1970_1_894_905::p0010::c002,0,5,5,1,0,0,0,0,True,True,True,1,1
1995_412,base30,1995,1,(1986) 4 SCC 566,5,1990_1_966_970::p0001::c002;1959_1_12_194::p0005::c002;S_1973_1_1_1002::p0086::c009;S_1985_1_541_560::p0009::c001;1975_2_259_316::p0016::c001,0,5,5,1,0,0,0,0,True,True,True,1,1
1995_425,base30,1995,1,[1967] 1 S.C.R. 679,5,1967_1_679_684::p0004::c005;1981_1_144_167::p0018::c001;1964_5_683_800::p0004::c002;1977_1_87_95::p0001::c003;S_1988_3_1074_1080::p0004::c005,0,5,5,1,0,0,0,0,True,True,True,1,1
1997_792,base30,1997,1,(1979) 2 SCC 409,5,1995_2_396_403::p0002::c002;S_1992_2_389_417::p0025::c003;1991_2_105_187::p0001::c005;1991_2_188_190::p0001::c002;1993_2_114_120::p0003::c002,0,5,5,1,0,0,0,0,True,True,True,0,0
2002_944,base30,2002,0,(1994) Supp. 1 SCC 324,5,1993_1_891_1026::p0118::c004;1980_1_1135_1147::p0004::c002;1997_2_475_487::p0006::c003;S_1996_5_719_741::p0011::c003;1967_1_400_415::p0011::c002,0,5,5,1,0,0,0,0,True,True,True,0,0
2008_1629,base30,2008,0,(2006) 9 SCC 630,5,S_2006_2_582_600::p0015::c004;S_2005_5_223_237::p0001::c003;S_1993_1_514_522::p0007::c001;S_2006_7_58_80::p0006::c004;S_2005_1_426_436::p0005::c003,0,5,5,1,0,0,0,0,True,True,True,1,1
2013_35,base30,2013,1,(1992) 3 SCC 161,5,S_2006_6_393_403::p0001::c002;2007_1_671_676::p0004::c003;2004_2_52_64::p0005::c004;2006_3_348_360::p0001::c002;S_2002_1_366_378::p0012::c004,0,5,5,1,0,0,0,0,True,True,True,1,1
